1,370,3,6
1,373,0,6
1,382,0,2
1,379,3,2
1,382,0,2
1,379,0,5
1,380,0,6
1,382,3,2
1,383,0,4
1,388,0,3
1,385,3,4
1,390,0,3
1,392,0,1
1,391,0,2
1,388,3,2
2,389,2,1
1,392,0,2
1,390,1,4
1,390,0,5
1,393,0,3
1,392,0,6
1,397,0,2
2,397,2,1
1,398,3,1
2,399,2,0
1,398,3,1
1,399,1,2
1,398,0,4
2,399,2,0
2,399,2,0
4,395,0,4
2,399,2,1
2,399,2,1
2,401,2,0
1,401,2,1
1,400,1,3
1,400,3,1
2,397,2,4
2,397,2,5
1,403,3,1
1,406,0,1
1,406,0,1
1,405,0,2
1,404,3,1
1,406,0,2
1,402,3,3
1,405,0,4
1,405,3,1
1,405,2,2
1,406,3,1
1,407,0,3
1,408,0,2
1,403,0,7
1,410,3,1
1,413,0,1
2,412,2,0
2,412,2,0
1,406,3,6
1,413,0,4
1,415,0,3
1,417,0,1
2,414,2,1
1,415,0,3
4,415,0,0
1,411,0,7
1,417,0,3
2,416,2,2
3,413,1,5
1,417,3,2
2,417,2,3
1,418,0,7
1,431,0,1
2,429,0,2
2,429,0,3
1,429,2,2
1,430,3,2
1,433,0,2
1,436,0,1
1,436,0,1
1,436,0,1
4,433,0,1
2,433,2,1
2,433,2,1
1,433,0,4
1,432,1,5
2,436,2,0
1,437,0,2
1,438,0,1
1,435,3,1
3,435,1,1
1,434,3,2
2,436,2,1
2,438,1,0
1,437,0,3
1,436,0,4
1,436,0,4
1,436,3,3
3,440,0,0
1,438,3,1
1,441,0,1
1,441,0,1
1,439,0,3
1,439,0,3
1,441,0,1
2,441,0,0
3,435,1,4
1,441,1,1
1,442,0,1
1,439,3,1
1,442,0,1
3,439,1,1
1,438,0,5
1,445,0,1
1,445,0,1
1,441,0,5
1,444,0,2
1,442,3,1
1,445,0,1
2,442,1,2
1,444,1,1
1,444,1,1
1,445,0,1
1,446,0,1
3,445,0,0
2,446,0,0
3,442,0,3
1,446,0,1
4,443,0,2
2,445,2,0
4,442,0,3
1,447,0,1
1,441,3,4
1,446,0,3
1,450,0,2
1,452,0,1
1,452,0,1
1,449,0,4
1,453,0,2
1,451,0,4
1,453,0,2
1,454,0,1
1,451,0,4
1,453,0,2
1,454,0,1
1,455,0,1
1,454,0,2
1,450,2,4
1,454,1,1
1,452,3,1
1,451,3,2
3,453,1,0
1,452,3,1
1,452,3,1
1,452,3,1
1,454,0,2
1,452,3,1
2,452,2,1
1,453,1,2
2,453,1,1
1,453,0,3
1,453,3,1
1,453,3,1
1,453,3,2
4,452,0,3
1,450,3,5
1,460,0,3
4,456,0,4
1,456,3,6
2,462,2,0
1,461,3,1
1,462,3,1
1,461,0,5
1,465,0,2
1,463,1,3
1,466,0,1
2,464,1,1
4,461,0,3
1,466,0,1
1,459,3,5
1,463,3,2
1,463,2,3
1,467,0,1
1,467,0,1
1,465,0,3
1,465,0,3
2,464,2,2
1,468,0,2
2,467,2,2
1,468,0,5
1,469,3,1
1,470,0,3
1,468,0,5
3,471,0,1
1,469,2,3
1,473,0,2
1,468,3,4
1,471,2,2
2,469,2,4
1,477,0,2
1,479,0,1
1,478,0,2
1,477,3,1
1,480,0,1
1,481,0,1
1,480,0,2
1,482,0,1
1,482,0,1
1,478,0,6
1,476,2,6
1,483,0,1
1,481,0,3
1,478,0,6
1,482,3,1
1,485,0,1
1,484,0,2
1,485,0,1
2,483,2,0
2,484,1,0
1,485,0,1
1,482,3,1
1,482,3,1
1,485,0,1
4,480,0,3
1,479,1,7
1,485,1,1
1,483,3,1
2,485,1,0
1,482,3,2
2,486,2,0
2,484,2,2
2,486,2,0
1,488,0,1
2,482,2,4
2,486,0,2
2,487,2,0
2,487,2,0
2,487,2,0
1,486,3,1
1,488,0,2
1,489,0,1
1,482,1,7
1,491,0,1
1,488,3,1
1,489,0,3
1,489,1,2
1,491,0,1
4,485,0,4
1,489,3,1
3,489,1,1
2,491,1,0
2,491,0,1
1,492,0,1
1,492,0,1
1,485,3,5
3,485,1,5
1,492,0,1
2,489,0,3
1,492,1,2
3,487,1,5
1,489,2,4
1,489,3,3
1,492,1,2
1,493,1,1
1,494,0,1
1,494,0,1
1,494,0,1
1,492,2,1
1,489,0,6
1,494,1,1
1,490,3,3
1,490,3,3
1,489,0,7
1,496,0,1
1,496,0,1
1,496,0,1
1,492,0,5
3,496,0,0
1,495,1,2
2,490,2,6
1,497,1,2
1,498,0,3
1,502,0,1
1,502,0,2
2,499,0,4
1,503,0,1
1,503,0,1
1,499,0,5
1,502,3,1
1,505,0,1
1,504,0,2
1,505,0,1
1,504,0,2
1,505,0,1
1,505,0,1
1,500,0,7
1,506,0,2
1,507,0,1
1,504,3,1
1,505,1,2
1,507,0,1
3,505,1,0
1,505,1,2
1,505,0,3
1,504,3,1
2,505,2,0
1,504,0,4
1,507,0,2
1,507,0,2
3,506,1,0
1,504,3,2
1,504,3,2
2,507,0,1
1,508,0,1
1,506,2,1
2,502,0,6
2,507,2,0
1,506,3,1
1,508,0,2
1,510,0,1
2,507,2,1
1,503,1,7
1,510,0,1
1,510,0,1
1,510,0,1
1,507,3,1
1,509,0,2
1,510,0,1
3,508,1,0
1,510,0,1
1,510,0,1
1,508,0,3
1,509,1,1
1,506,3,2
2,510,0,0
1,506,0,5
1,503,3,5
1,508,2,1
1,509,0,3
2,512,2,0
1,511,3,1
1,514,0,1
1,513,0,2
2,511,2,1
1,510,0,5
1,514,0,1
2,515,0,0
1,510,3,3
2,509,2,5
1,514,0,5
1,518,3,1
1,521,0,1
1,517,3,2
2,517,2,2
1,519,1,2
1,520,0,2
1,518,3,1
1,519,1,2
1,517,3,2
1,520,3,1
1,518,0,6
1,522,1,1
2,523,0,0
1,520,3,1
2,519,2,2
1,520,3,2
2,524,2,0
1,523,3,1
1,524,3,1
1,526,1,1
1,526,0,2
1,526,0,2
1,526,1,1
3,523,1,2
1,524,3,1
3,525,1,1
2,527,0,1
2,520,2,6
1,526,3,1
2,528,0,1
1,527,0,3
1,532,0,1
1,530,0,3
1,531,0,2
1,532,0,1
1,532,0,1
1,531,0,2
1,532,0,2
1,530,0,4
2,533,0,0
1,533,0,1
1,532,0,2
1,534,0,1
1,533,0,2
1,534,0,1
1,534,0,1
1,532,0,3
1,534,0,2
1,534,0,3
1,538,0,1
1,538,0,1
1,538,0,1
1,535,1,4
1,540,0,1
1,535,3,3
2,540,2,0
1,539,3,1
1,538,3,2
1,538,3,2
1,543,1,1
1,543,0,2
1,540,2,3
1,543,0,2
1,545,0,1
1,541,3,2
1,544,1,1
1,542,0,4
1,540,1,5
1,544,0,2
1,543,3,1
1,543,3,2
1,541,0,7
1,547,0,4
1,548,3,1
2,544,2,5
1,552,0,2
1,552,0,2
1,554,0,2
1,552,3,1
1,552,3,1
1,555,0,1
1,554,0,2
1,555,0,1
2,553,2,0
1,550,3,3
2,551,1,3
1,548,1,7
1,556,0,3
2,556,2,1
1,556,0,4
1,559,0,2
1,559,1,1
1,560,0,1
1,560,0,1
1,559,0,2
1,560,0,1
1,559,0,2
2,557,0,3
1,560,0,1
1,553,3,5
1,559,0,2
2,557,0,3
1,555,0,6
1,560,0,2
1,562,0,1
1,562,0,1
2,559,2,2
1,560,3,1
4,559,0,3
1,563,1,1
2,563,2,0
2,563,2,0
1,565,0,1
1,565,0,2
1,560,0,7
2,566,1,5
1,576,1,1
1,577,0,2
1,579,1,1
1,578,0,3
1,581,0,1
1,581,0,1
1,577,3,2
1,580,1,1
1,579,0,3
1,579,1,3
1,580,1,2
2,581,2,0
1,581,0,3
1,580,0,4
2,583,2,0
1,581,0,5
1,584,1,1
1,584,1,1
1,585,0,1
1,582,3,1
1,582,3,1
