1,44,0,1
1,43,0,2
1,40,3,2
1,44,0,1
2,42,2,0
1,43,0,2
1,45,0,2
1,45,1,1
1,46,0,1
1,44,1,2
1,44,1,3
1,47,0,1
1,46,1,1
2,44,1,2
1,45,3,1
1,46,0,3
1,48,0,1
2,48,0,0
1,45,2,2
1,47,0,3
1,49,0,1
2,49,0,0
1,49,0,1
1,49,0,1
1,50,0,1
1,51,0,1
1,51,0,2
1,50,3,1
1,54,0,1
1,54,0,1
1,54,0,1
2,54,0,0
1,52,0,3
2,52,0,2
1,51,3,1
1,55,0,1
1,55,1,1
2,55,1,0
2,56,0,0
1,56,0,1
1,55,0,2
1,54,0,3
1,56,0,2
1,55,1,2
1,53,2,3
1,56,0,3
1,54,2,3
1,58,0,1
1,58,0,1
1,58,0,2
1,60,0,1
1,59,0,2
1,60,0,1
2,60,0,0
1,60,0,1
1,58,0,3
1,59,0,2
1,59,1,1
1,60,0,2
1,61,0,1
1,59,1,2
1,60,1,1
2,60,1,0
2,59,1,1
1,59,2,1
1,58,3,2
1,62,0,1
2,62,0,0
1,62,0,1
1,60,2,1
1,61,0,3
1,63,0,1
1,61,0,3
2,62,0,2
