1,248,1,1
6,239,0,6
1,249,0,1
1,241,5,4
1,238,0,13
1,253,5,3
1,262,0,1
2,253,4,5
1,260,0,3
3,259,0,2
1,257,5,1
2,253,4,6
1,262,0,3
1,266,0,1
1,266,0,1
3,259,3,3
5,256,1,6
2,264,2,0
4,262,1,1
1,261,0,6
1,266,1,2
2,263,4,2
1,269,0,1
1,254,5,11
1,262,0,8
5,263,0,3
1,260,0,11
4,264,2,3
2,269,2,0
2,261,4,6
4,266,2,1
1,257,5,10
1,271,0,1
2,265,4,2
3,264,3,3
3,264,3,3
1,266,0,6
1,273,0,1
2,261,4,9
1,273,3,1
2,272,4,0
1,275,1,1
1,277,0,1
1,269,5,4
2,270,2,6
1,280,0,1
1,276,5,1
2,276,3,2
2,274,2,5
3,281,1,0
1,278,5,1
4,274,2,6
3,280,1,2
1,278,5,2
1,278,5,3
1,285,0,1
1,281,0,5
3,278,3,3
1,282,4,1
1,280,5,2
2,282,4,0
1,281,0,6
2,282,4,0
1,279,0,8
1,276,0,11
2,281,4,1
4,282,0,2
1,284,0,3
1,285,0,2
2,281,4,1
1,281,5,1
1,283,0,5
1,283,4,2
1,287,0,3
2,289,0,1
1,287,0,4
1,283,5,3
1,291,0,1
3,284,3,3
1,286,5,1
3,287,3,0
2,288,2,1
3,283,3,5
1,293,0,1
1,288,1,5
2,293,2,0
4,290,2,1
2,293,2,0
1,295,0,1
1,295,0,2
3,296,1,0
2,290,4,4
1,296,4,1
2,298,0,2
2,298,0,2
1,298,0,4
1,294,5,3
1,304,0,1
1,301,2,2
1,297,5,4
1,295,0,14
1,316,5,1
1,308,0,14
1,319,5,5
1,322,0,7
2,326,4,0
3,326,3,0
1,321,0,10
1,334,5,1
3,334,3,1
5,327,1,8
1,333,5,2
1,329,0,12
3,337,3,2
1,343,0,1
1,338,5,1
2,342,1,0
2,340,0,3
3,340,0,2
3,330,3,9
1,341,0,10
1,348,5,4
2,354,4,2
1,356,5,2
1,351,0,12
2,362,4,3
1,366,0,4
1,367,0,3
1,363,0,7
1,373,0,1
1,368,0,7
1,370,0,5
1,376,0,1
1,370,5,2
3,374,0,1
1,374,0,3
5,376,0,0
1,363,5,12
1,384,5,3
1,390,0,3
1,393,0,3
1,396,0,3
1,400,0,1
1,399,1,1
2,396,4,0
2,392,4,4
1,390,0,11
1,405,0,2
1,397,0,12
1,420,0,1
1,419,0,3
1,421,0,3
1,417,5,4
1,429,0,1
1,430,0,1
1,430,0,2
1,429,0,4
1,436,0,1
1,425,0,12
