threshold,sensitivity,specificity,ppv,gmean,f1,accuracy,mcc,legacy_auc,evaluated_commits,mean_actual_size,mean_predicted_size,cap_hit_rate,mean_tp,mean_fp,mean_fp_cap_hit,mean_fp_noncap,candidate_calls
0.5,0.6764705882352942,0.9639021362660737,0.46078431372549017,0.7964243703942209,0.5470588235294118,0.9513667697487115,0.5337649449762566,0.8201863622506839,17,2.0,2.9411764705882355,0.9411764705882353,1.3529411764705883,1.588235294117647,1.625,1.0,46
0.55,0.6470588235294118,0.9639021362660737,0.45098039215686275,0.7793968733776433,0.5294117647058824,0.9500595802062278,0.5143412744621731,0.8054804798977427,17,2.0,2.8823529411764706,0.8823529411764706,1.2941176470588236,1.588235294117647,1.6666666666666667,1.0,63
0.6000000000000001,0.6470588235294118,0.9731712984764123,0.5490196078431372,0.7829166395525807,0.5803921568627451,0.9589293630870027,0.5686535191322741,0.8101150610029121,17,2.0,2.4705882352941178,0.5294117647058824,1.2941176470588236,1.1764705882352942,1.5555555555555556,0.75,83
0.6500000000000001,0.6470588235294118,0.9799534052585192,0.6568627450980392,0.7853401457719589,0.6215686274509804,0.9654122690910493,0.619851907074501,0.8135061143939655,17,2.0,2.176470588235294,0.4117647058823529,1.2941176470588236,0.8823529411764706,1.4285714285714286,0.5,77
0.7000000000000002,0.6470588235294118,0.9880753810809386,0.7941176470588234,0.7882406766278414,0.6725490196078432,0.9731765385217597,0.6840942663682851,0.8175671023051753,17,2.0,1.8235294117647058,0.29411764705882354,1.2941176470588236,0.5294117647058824,1.2,0.25,84
0.7500000000000002,0.6470588235294118,0.996017631858945,0.9313725490196078,0.7914508096979946,0.7313725490196079,0.9807762755962034,0.7519118492443333,0.8215382276941784,17,2.0,1.4705882352941178,0.11764705882352941,1.2941176470588236,0.17647058823529413,1.0,0.06666666666666667,82
0.8000000000000003,0.6176470588235294,0.996017631858945,0.9313725490196078,0.7742217968266152,0.711764705882353,0.9795507854001251,0.7342379624427653,0.8068323453412373,17,2.0,1.411764705882353,0.11764705882352941,1.2352941176470589,0.17647058823529413,1.0,0.06666666666666667,81
0.8500000000000003,0.5588235294117647,1.0,1.0,0.7415648069293068,0.7058823529411764,0.9808579749426087,0.7346080486906963,0.7794117647058824,17,2.0,1.1176470588235294,0.0,1.1176470588235294,0.0,,0.0,78
0.9000000000000004,0.5,1.0,1.0,0.7071067811865476,0.6666666666666666,0.9783276381085225,0.6992306666295397,0.75,17,2.0,1.0,0.0,1.0,0.0,,0.0,75
0.9500000000000004,0.5,1.0,1.0,0.7071067811865476,0.6666666666666666,0.9783276381085225,0.6992306666295397,0.75,17,2.0,1.0,0.0,1.0,0.0,,0.0,75
