threshold,sensitivity,specificity,ppv,gmean,f1,accuracy,mcc,legacy_auc,evaluated_commits,mean_actual_size,mean_predicted_size,cap_hit_rate,mean_tp,mean_fp,mean_fp_cap_hit,mean_fp_noncap,candidate_calls
0.5,0.5317893217893218,0.9830202043659546,0.30952380952380953,0.6916878850700519,0.351242618259425,0.9713244661372405,0.37130838118365606,0.757404763077638,35,4.742857142857143,5.914285714285715,0.9714285714285714,1.8285714285714285,4.085714285714285,4.147058823529412,2.0,212
0.55,0.5317893217893218,0.9830202043659546,0.30952380952380953,0.6916878850700519,0.351242618259425,0.9713244661372405,0.37130838118365606,0.757404763077638,35,4.742857142857143,5.914285714285715,0.9714285714285714,1.8285714285714285,4.085714285714285,4.147058823529412,2.0,217
0.6000000000000001,0.5277200577200577,0.983148445299601,0.3142857142857143,0.6920566249980185,0.3518261850194623,0.9715627188576836,0.3719073221507828,0.7554342515098293,35,4.742857142857143,5.914285714285715,0.9714285714285714,1.8571428571428572,4.057142857142857,4.117647058823529,2.0,236
0.6500000000000001,0.546984126984127,0.983751957537661,0.3476190476190476,0.7071356559774706,0.3682034025731505,0.972497928580069,0.3927191658947642,0.7653680422608939,35,4.742857142857143,5.857142857142857,0.9714285714285714,1.9428571428571428,3.914285714285714,4.029411764705882,0.0,309
0.7000000000000002,0.5726984126984127,0.9844684248139414,0.369047619047619,0.7268355636766715,0.39108322116725486,0.9736696880164195,0.41655674928583086,0.778583418756177,35,4.742857142857143,5.8,0.9428571428571428,2.057142857142857,3.742857142857143,3.878787878787879,1.5,328
0.7500000000000002,0.5724386724386724,0.9844678678877287,0.369047619047619,0.7271374769833651,0.39087313713364136,0.9736676533042296,0.4163859955150191,0.7784532701632004,35,4.742857142857143,5.8,0.9428571428571428,2.057142857142857,3.742857142857143,3.878787878787879,1.5,356
0.8000000000000003,0.5726984126984128,0.9845897794632794,0.37142857142857144,0.7272935798122178,0.3929879830720167,0.9737943852873453,0.4181646287694334,0.778644096080846,35,4.742857142857143,5.771428571428571,0.9428571428571428,2.057142857142857,3.7142857142857144,3.878787878787879,1.0,399
0.8500000000000003,0.5824386724386724,0.9856493547984206,0.42000000000000004,0.7338469179639524,0.4249887833921447,0.975074345013171,0.4494559907484126,0.7840440136185465,35,4.742857142857143,5.571428571428571,0.8857142857142857,2.1142857142857143,3.4571428571428573,3.774193548387097,1.0,437
0.9000000000000004,0.5938239538239538,0.9865093552275015,0.44333333333333336,0.7414924675687204,0.4412579577285459,0.9763811903319439,0.4669727540533172,0.7901666545257277,35,4.742857142857143,5.485714285714286,0.8285714285714286,2.2285714285714286,3.257142857142857,3.586206896551724,1.6666666666666667,679
0.9500000000000004,0.5228715728715729,0.9925875296830152,0.6266666666666667,0.695112390581066,0.4981661149308208,0.9814241462558844,0.5249786504571646,0.757729551277294,35,4.742857142857143,3.8,0.3142857142857143,2.0,1.8,3.272727272727273,1.125,1044
