threshold,sensitivity,specificity,ppv,gmean,f1,accuracy,mcc,legacy_auc,evaluated_commits,mean_actual_size,mean_predicted_size,cap_hit_rate,mean_tp,mean_fp,mean_fp_cap_hit,mean_fp_noncap,candidate_calls
0.5,0.6344444444444444,0.9893661718573908,0.27222222222222225,0.7759471267210086,0.37050424883758215,0.986838644360586,0.4039020367939927,0.8119053081509175,90,2.6222222222222222,5.866666666666666,0.9555555555555556,1.5666666666666667,4.3,4.430232558139535,1.5,456
0.55,0.6344444444444444,0.9893661718573908,0.27222222222222225,0.7759471267210086,0.37050424883758215,0.986838644360586,0.4039020367939927,0.8119053081509175,90,2.6222222222222222,5.866666666666666,0.9555555555555556,1.5666666666666667,4.3,4.430232558139535,1.5,464
0.6000000000000001,0.6366666666666666,0.9893940892219917,0.2740740740740741,0.7772860738672935,0.37252445085778424,0.9868937863512119,0.4059587091936925,0.8130303779443291,90,2.6222222222222222,5.866666666666666,0.9555555555555556,1.5777777777777777,4.288888888888889,4.4186046511627906,1.5,480
0.6500000000000001,0.6487037037037037,0.989474809218692,0.2796296296296296,0.7854831014725502,0.3799935866602533,0.9870540556830418,0.4141405721448274,0.8190892564611979,90,2.6222222222222222,5.866666666666666,0.9555555555555556,1.6111111111111112,4.2555555555555555,4.383720930232558,1.5,533
0.7000000000000002,0.6564814814814814,0.9896367226007877,0.2907407407407408,0.7903570787945433,0.3887421837421838,0.9872693291112439,0.42331663498455274,0.8230591020411346,90,2.6222222222222222,5.822222222222222,0.9444444444444444,1.6333333333333333,4.188888888888889,4.364705882352941,1.2,578
0.7500000000000002,0.6609259259259259,0.9897202119261224,0.29629629629629634,0.7924049274394724,0.3937926887926888,0.9873264259067802,0.428355320570648,0.8253230689260241,90,2.6222222222222222,5.777777777777778,0.9333333333333333,1.6222222222222222,4.155555555555556,4.380952380952381,1.0,714
0.8000000000000003,0.6674074074074074,0.989886867254008,0.30740740740740746,0.7962719701331571,0.40403960237293574,0.9875473784063298,0.4380287572771574,0.8286471373307077,90,2.6222222222222222,5.733333333333333,0.9222222222222223,1.6444444444444444,4.088888888888889,4.36144578313253,0.8571428571428571,806
0.8500000000000003,0.6724074074074073,0.9902180745639814,0.3244444444444445,0.7999289428304482,0.4174266474266474,0.9879036620552364,0.4504359595545693,0.8313127409856945,90,2.6222222222222222,5.611111111111111,0.8888888888888888,1.6555555555555554,3.9555555555555557,4.3375,0.9,1111
0.9000000000000004,0.6642592592592593,0.9907453713171572,0.3548148148148148,0.7943917062614384,0.4358521725188393,0.9883727059229463,0.46567456010937563,0.8275023152882083,90,2.6222222222222222,5.377777777777778,0.8111111111111111,1.6333333333333333,3.7444444444444445,4.397260273972603,0.9411764705882353,1608
0.9500000000000004,0.6401851851851852,0.9940724953055192,0.5485185185185186,0.7816264915109088,0.525654962321629,0.9915128634092988,0.554569708758294,0.8171288402453523,90,2.6222222222222222,3.966666666666667,0.43333333333333335,1.5666666666666667,2.4,4.384615384615385,0.8823529411764706,1984
