2018-07-13 11:03:32+02:00,52
2018-07-13 11:18:13+02:00,44,24,40
2018-07-13 11:23:36+02:00,40
2018-07-23 12:42:16+02:00,20,14
2018-07-23 13:02:14+02:00,52
2018-08-01 21:11:07+08:00,22,20
2018-08-01 21:23:25+08:00,14
2018-08-02 10:05:11+02:00
2018-08-03 14:57:18+02:00,40
2018-08-03 15:00:33+02:00,40
2018-08-03 15:01:00+02:00,40
2018-08-03 15:02:47+02:00,40
2018-08-03 15:05:40+02:00,52
2018-08-03 15:07:30+02:00,52
2018-08-03 15:10:21+02:00,40
2018-08-03 15:17:34+02:00,40
2018-08-03 15:19:04+02:00,40
2018-08-03 15:24:14+02:00,44
2018-08-16 09:40:54+02:00,40
2018-08-16 09:42:23+02:00
2018-08-28 09:53:39+02:00,40
2018-08-28 09:56:08+02:00,40
2018-09-24 12:02:51+02:00,20,6,26
2018-09-24 12:07:18+02:00,25
2018-09-24 12:20:14+02:00,6,26
2018-09-24 12:24:09+02:00,26
2018-09-24 12:33:14+02:00,26,6
2018-09-24 16:27:45+02:00,26,56
2018-09-24 16:44:39+02:00,24
2018-09-24 17:20:20+02:00,24
2018-09-24 18:13:20+02:00,24,56
2018-09-24 18:26:48+02:00,56,24
2018-09-25 11:33:19+02:00,56
2018-09-25 12:14:59+02:00,24,6,14,56
2018-09-25 12:34:26+02:00,26,6
2018-09-28 11:58:38+02:00,47,6
2018-09-28 12:22:55+02:00
2018-09-28 15:04:27+02:00,24,52,25,74
2018-10-08 11:18:27+02:00,48,6,56
2018-10-08 11:22:23+02:00,40
2018-10-19 16:46:05+02:00,57,18
2018-10-20 11:45:39+02:00,18
2018-10-20 11:57:33+02:00,18
2018-10-21 11:21:29+02:00,18,75
2018-10-21 11:41:55+02:00,75
2018-10-22 10:47:17+02:00,18,75
2018-10-22 11:24:17+02:00,14,22,12,18,6
2018-10-22 11:30:21+02:00,75,18
2018-10-22 14:13:31+02:00
2018-10-22 15:49:41+02:00,48,46
2018-10-22 16:10:25+02:00,75,18
2018-10-22 16:31:17+02:00,52
2018-10-22 17:00:37+02:00,18,46
2018-10-23 10:07:04+02:00,18
2018-10-23 10:24:14+02:00,52
2018-10-23 14:46:34+02:00,46,45,6
2018-10-23 15:19:32+02:00,14,52
2018-10-23 15:26:30+02:00,53,55,29,32,34,22,73,26,56,57,35,66,75
2018-10-25 11:32:50+02:00,48,6
2018-10-25 11:33:43+02:00,45
2018-10-26 16:11:40+02:00,76
2018-10-26 16:31:43+02:00,76
2018-10-26 17:18:52+02:00,76
2018-10-26 17:24:04+02:00,77
2018-10-26 17:28:49+02:00,77
2018-10-26 19:30:26+02:00,77
2018-10-27 09:49:37+02:00,40
2018-10-27 09:51:53+02:00
2018-10-27 11:14:42+02:00,26,22
2018-10-27 11:15:33+02:00
2018-10-27 11:58:55+02:00,26,6
2018-10-28 11:30:41+01:00,26
2018-10-28 11:32:43+01:00,20
2018-10-29 10:05:21+01:00,26,6,14
2018-10-29 10:30:55+01:00,14,6
2018-10-29 10:41:27+01:00,22
2018-10-29 10:46:59+01:00,52
2018-10-31 10:07:25+01:00,22,75,18,14,34
2018-10-31 10:30:02+01:00,14,18,34
2018-10-31 11:02:18+01:00,34,20
2018-10-31 11:55:45+01:00,18,53,75
2018-10-31 13:41:28+01:00,26,22,75
2018-10-31 14:47:50+01:00,18
2018-10-31 15:41:09+01:00
2018-11-01 10:03:48+01:00,52
2018-11-01 10:21:40+01:00,18
2018-11-01 12:07:38+01:00,22,75,6,34,18,14,53
2018-11-01 12:17:11+01:00,56
2018-11-01 13:15:55+01:00,46
2018-11-02 10:02:07+01:00,52,18,6
2018-11-05 22:45:20+01:00,46,14,6
2018-11-06 14:41:49+01:00,77
2018-11-06 14:53:59+01:00,77
2018-11-06 14:54:46+01:00,77
2018-11-06 15:01:56+01:00,77
2018-11-06 15:09:30+01:00,77
2018-11-06 15:18:51+01:00,77
2018-11-06 15:30:39+01:00,77
2018-11-06 15:38:48+01:00,77
2018-11-06 15:41:24+01:00,77
2018-11-19 15:22:39+01:00,18,34
2018-11-19 15:28:10+01:00,20
2018-11-19 15:39:06+01:00,34,18
2018-11-20 09:56:20+01:00,34
2018-11-20 10:00:53+01:00,34
2018-11-20 10:06:04+01:00
2018-11-28 11:08:57+01:00,18
2018-11-28 14:23:26+01:00,18
2018-11-28 14:51:39+01:00,20,26,6
2018-11-28 16:37:23+01:00
2018-11-30 14:38:38+01:00,40
2018-12-07 16:23:00+01:00,63
2018-12-10 09:26:45+01:00,40
2018-12-10 09:27:48+01:00,40
2018-12-10 09:48:16+01:00,18,46
2018-12-10 10:03:15+01:00,52
2018-12-12 10:36:19+02:00,6
2018-12-12 10:55:13+02:00,52
2018-12-12 21:17:34+02:00,34,22,18,14
2018-12-13 10:30:26+02:00,52,14
2019-01-09 13:31:53+08:00,46
2019-01-09 16:15:50+01:00
2019-01-11 14:06:30+01:00,0
2019-01-14 13:15:24+08:00,22,18,14
2019-01-14 13:55:35+08:00,14
2019-01-14 11:01:55+01:00,20
2019-01-14 11:17:18+01:00,66
2019-01-14 11:19:35+01:00,14
2019-01-14 11:55:36+01:00
2019-01-14 13:15:29+01:00,18
2019-01-14 13:22:20+01:00,52
2019-01-14 13:53:59+01:00,56
2019-01-14 14:02:23+01:00,24
2019-01-14 14:37:56+01:00,78,56,22,24
2019-01-14 14:57:46+01:00,56
2019-01-17 15:23:24+08:00,75,14,22,18
2019-01-18 16:49:24+01:00
2019-01-18 17:03:07+01:00,75,14,22
2019-01-21 10:24:13+01:00,79
2019-01-21 10:38:17+01:00,80
2019-01-21 14:46:27+01:00,18,20,75
2019-01-21 16:07:57+01:00,35,18,75,57,22,66,29,56,32,34,26,53,55
2019-01-21 17:16:30+01:00,24
2019-01-22 15:08:07+01:00,52
2019-01-22 15:14:33+01:00,18,46
2019-02-11 11:08:36+01:00,20,26
2019-02-11 12:48:45+01:00,25
2019-02-11 15:10:44+01:00,25
2019-03-14 14:48:32+01:00,6
2019-03-14 14:53:55+01:00,6
2019-03-14 15:56:53+01:00,18,81
2019-03-15 10:58:42+01:00,81,18,7,6,14
2019-03-15 12:11:51+01:00,6,18,12,7,14
2019-03-21 14:44:47+01:00,6,18,14,7,81
2019-03-21 14:57:13+01:00,14
2019-03-21 14:58:46+01:00,6
